"_time","savedsearch_name","result_count",status
"2026-09-24T15:35:01.441-0500","LAB - T1548.002 - UAC bypass registry key",0,success
"2026-09-24T15:40:01.400-0500","LAB - T1548.002 - UAC bypass registry key",0,success
"2026-09-24T15:45:01.677-0500","LAB - T1548.002 - UAC bypass registry key",1,success
