"_time","savedsearch_name","result_count",status
"2026-09-24T13:50:01.697-0500","LAB - T1136.001 - Local account created on member host",2,success
"2026-09-24T14:20:01.933-0500","LAB - T1136.001 - Local account created on member host",2,success
