"_time",EventCode,TargetUserName,TargetSid,MemberSid,SubjectUserName
"2026-09-24T14:15:45.809-0500",4732,Administrators,"S-1-5-32-544","S-1-5-21-3725847578-1089385473-3545458596-1005",stigadmin
"2026-09-24T14:15:45.721-0500",4732,Users,"S-1-5-32-545","S-1-5-21-3725847578-1089385473-3545458596-1005",stigadmin
"2026-09-24T14:15:45.682-0500",4720,"T1136.001_Admin","S-1-5-21-3725847578-1089385473-3545458596-1005",,stigadmin
"2026-09-24T14:15:45.103-0500",4732,Users,"S-1-5-32-545","S-1-5-21-3725847578-1089385473-3545458596-1004",stigadmin
"2026-09-24T14:15:45.058-0500",4720,"T1136.001_CMD","S-1-5-21-3725847578-1089385473-3545458596-1004",,stigadmin
"2026-09-24T13:48:49.910-0500",4720,"T1136.001_Admin","S-1-5-21-3725847578-1089385473-3545458596-1003",,stigadmin
"2026-09-24T13:47:54.644-0500",4720,"T1136.001_CMD","S-1-5-21-3725847578-1089385473-3545458596-1002",,stigadmin
